type,year,state_name,state_code,organ,counts
Transplant Recipients,2017,North Dakota,ND,Lung,0
Transplant Recipients,2017,North Dakota,ND,Pancreas,0
Transplant Recipients,2017,Not Reported,NR,All,0
Transplant Recipients,2017,Not Reported,NR,Heart,0
Transplant Recipients,2017,Not Reported,NR,Kidney,0
Transplant Recipients,2017,Not Reported,NR,Kidney-Pancreas,0
Transplant Recipients,2017,Not Reported,NR,Liver,0
Transplant Recipients,2017,Not Reported,NR,Lung,0
Transplant Recipients,2017,Not Reported,NR,Pancreas,0
Transplant Recipients,2017,Ohio,OH,All,1282
Transplant Recipients,2017,Ohio,OH,Heart,123
Transplant Recipients,2017,Ohio,OH,Kidney,684
Transplant Recipients,2017,Ohio,OH,Kidney-Pancreas,32
Transplant Recipients,2017,Ohio,OH,Liver,349
Transplant Recipients,2017,Ohio,OH,Lung,126
Transplant Recipients,2017,Ohio,OH,Pancreas,0
Transplant Recipients,2017,Oklahoma,OK,All,339
Transplant Recipients,2017,Oklahoma,OK,Heart,25
Transplant Recipients,2017,Oklahoma,OK,Kidney,212
Transplant Recipients,2017,Oklahoma,OK,Kidney-Pancreas,0
Transplant Recipients,2017,Oklahoma,OK,Liver,73
Transplant Recipients,2017,Oklahoma,OK,Lung,26
Transplant Recipients,2017,Oklahoma,OK,Pancreas,0
Transplant Recipients,2017,Oregon,OR,All,282
Transplant Recipients,2017,Oregon,OR,Heart,24
Transplant Recipients,2017,Oregon,OR,Kidney,179
Transplant Recipients,2017,Oregon,OR,Kidney-Pancreas,0
Transplant Recipients,2017,Oregon,OR,Liver,66
Transplant Recipients,2017,Oregon,OR,Lung,0
Transplant Recipients,2017,Oregon,OR,Pancreas,0
Transplant Recipients,2017,Pacific Ocean Territories,PO,All,0
Transplant Recipients,2017,Pacific Ocean Territories,PO,Heart,0
Transplant Recipients,2017,Pacific Ocean Territories,PO,Kidney,0
Transplant Recipients,2017,Pacific Ocean Territories,PO,Kidney-Pancreas,0
Transplant Recipients,2017,Pacific Ocean Territories,PO,Liver,0
Transplant Recipients,2017,Pacific Ocean Territories,PO,Lung,0
Transplant Recipients,2017,Pacific Ocean Territories,PO,Pancreas,0
Transplant Recipients,2017,Pennsylvania,PA,All,1583
Transplant Recipients,2017,Pennsylvania,PA,Heart,142
Transplant Recipients,2017,Pennsylvania,PA,Kidney,866
Transplant Recipients,2017,Pennsylvania,PA,Kidney-Pancreas,39
Transplant Recipients,2017,Pennsylvania,PA,Liver,399
Transplant Recipients,2017,Pennsylvania,PA,Lung,164
Transplant Recipients,2017,Pennsylvania,PA,Pancreas,0
Transplant Recipients,2017,Puerto Rico,PR,All,129
Transplant Recipients,2017,Puerto Rico,PR,Heart,0
Transplant Recipients,2017,Puerto Rico,PR,Kidney,79
Transplant Recipients,2017,Puerto Rico,PR,Kidney-Pancreas,0
Transplant Recipients,2017,Puerto Rico,PR,Liver,46
Transplant Recipients,2017,Puerto Rico,PR,Lung,0
Transplant Recipients,2017,Puerto Rico,PR,Pancreas,0
Transplant Recipients,2017,Rhode Island,RI,All,90
Transplant Recipients,2017,Rhode Island,RI,Heart,0
Transplant Recipients,2017,Rhode Island,RI,Kidney,58
Transplant Recipients,2017,Rhode Island,RI,Kidney-Pancreas,0
Transplant Recipients,2017,Rhode Island,RI,Liver,22
Transplant Recipients,2017,Rhode Island,RI,Lung,0
Transplant Recipients,2017,Rhode Island,RI,Pancreas,0
Transplant Recipients,2017,South Carolina,SC,All,538
Transplant Recipients,2017,South Carolina,SC,Heart,33
Transplant Recipients,2017,South Carolina,SC,Kidney,332
Transplant Recipients,2017,South Carolina,SC,Kidney-Pancreas,0
Transplant Recipients,2017,South Carolina,SC,Liver,138
Transplant Recipients,2017,South Carolina,SC,Lung,27
Transplant Recipients,2017,South Carolina,SC,Pancreas,0
Transplant Recipients,2017,South Dakota,SD,All,88
Transplant Recipients,2017,South Dakota,SD,Heart,0
Transplant Recipients,2017,South Dakota,SD,Kidney,54
Transplant Recipients,2017,South Dakota,SD,Kidney-Pancreas,0
Transplant Recipients,2017,South Dakota,SD,Liver,21
Transplant Recipients,2017,South Dakota,SD,Lung,0
Transplant Recipients,2017,South Dakota,SD,Pancreas,0
Transplant Recipients,2017,Tennessee,TN,All,709
Transplant Recipients,2017,Tennessee,TN,Heart,125
Transplant Recipients,2017,Tennessee,TN,Kidney,377
Transplant Recipients,2017,Tennessee,TN,Kidney-Pancreas,0
Transplant Recipients,2017,Tennessee,TN,Liver,184
Transplant Recipients,2017,Tennessee,TN,Lung,30
Transplant Recipients,2017,Tennessee,TN,Pancreas,0
Transplant Recipients,2017,Texas,TX,All,3016
Transplant Recipients,2017,Texas,TX,Heart,297
Transplant Recipients,2017,Texas,TX,Kidney,1760
Transplant Recipients,2017,Texas,TX,Kidney-Pancreas,68
Transplant Recipients,2017,Texas,TX,Liver,718
Transplant Recipients,2017,Texas,TX,Lung,258
Transplant Recipients,2017,Texas,TX,Pancreas,16
Transplant Recipients,2017,Utah,UT,All,292
Transplant Recipients,2017,Utah,UT,Heart,26
Transplant Recipients,2017,Utah,UT,Kidney,166
Transplant Recipients,2017,Utah,UT,Kidney-Pancreas,0
Transplant Recipients,2017,Utah,UT,Liver,83
Transplant Recipients,2017,Utah,UT,Lung,18
Transplant Recipients,2017,Utah,UT,Pancreas,0
Transplant Recipients,2017,Vermont,VT,All,39
Transplant Recipients,2017,Vermont,VT,Heart,0
Transplant Recipients,2017,Vermont,VT,Kidney,0
Transplant Recipients,2017,Vermont,VT,Kidney-Pancreas,0
Transplant Recipients,2017,Vermont,VT,Liver,0
Transplant Recipients,2017,Vermont,VT,Lung,0
Transplant Recipients,2017,Vermont,VT,Pancreas,0
Transplant Recipients,2017,Virgin Islands,VI,All,0
Transplant Recipients,2017,Virgin Islands,VI,Heart,0
Transplant Recipients,2017,Virgin Islands,VI,Kidney,0
Transplant Recipients,2017,Virgin Islands,VI,Kidney-Pancreas,0
Transplant Recipients,2017,Virgin Islands,VI,Liver,0
Transplant Recipients,2017,Virgin Islands,VI,Lung,0
Transplant Recipients,2017,Virgin Islands,VI,Pancreas,0
Transplant Recipients,2017,Virginia,VA,All,971
Transplant Recipients,2017,Virginia,VA,Heart,99
Transplant Recipients,2017,Virginia,VA,Kidney,607
Transplant Recipients,2017,Virginia,VA,Kidney-Pancreas,24
Transplant Recipients,2017,Virginia,VA,Liver,207
Transplant Recipients,2017,Virginia,VA,Lung,52
Transplant Recipients,2017,Virginia,VA,Pancreas,0
Transplant Recipients,2017,Washington,WA,All,631
Transplant Recipients,2017,Washington,WA,Heart,86
Transplant Recipients,2017,Washington,WA,Kidney,379
Transplant Recipients,2017,Washington,WA,Kidney-Pancreas,0
Transplant Recipients,2017,Washington,WA,Liver,132
Transplant Recipients,2017,Washington,WA,Lung,38
Transplant Recipients,2017,Washington,WA,Pancreas,0
Transplant Recipients,2017,West Virginia,WV,All,145
Transplant Recipients,2017,West Virginia,WV,Heart,20
Transplant Recipients,2017,West Virginia,WV,Kidney,73
Transplant Recipients,2017,West Virginia,WV,Kidney-Pancreas,0
Transplant Recipients,2017,West Virginia,WV,Liver,37
Transplant Recipients,2017,West Virginia,WV,Lung,21
Transplant Recipients,2017,West Virginia,WV,Pancreas,0
Transplant Recipients,2017,Wisconsin,WI,All,606
Transplant Recipients,2017,Wisconsin,WI,Heart,63
Transplant Recipients,2017,Wisconsin,WI,Kidney,340
Transplant Recipients,2017,Wisconsin,WI,Kidney-Pancreas,16
Transplant Recipients,2017,Wisconsin,WI,Liver,163
Transplant Recipients,2017,Wisconsin,WI,Lung,36
Transplant Recipients,2017,Wisconsin,WI,Pancreas,0
Transplant Recipients,2017,Wyoming,WY,All,45
Transplant Recipients,2017,Wyoming,WY,Heart,0
Transplant Recipients,2017,Wyoming,WY,Kidney,24
Transplant Recipients,2017,Wyoming,WY,Kidney-Pancreas,0
Transplant Recipients,2017,Wyoming,WY,Liver,16
Transplant Recipients,2017,Wyoming,WY,Lung,0
Transplant Recipients,2017,Wyoming,WY,Pancreas,0
Transplant Recipients,2018,Alabama,AL,All,514
Transplant Recipients,2018,Alabama,AL,Heart,40
Transplant Recipients,2018,Alabama,AL,Kidney,331
Transplant Recipients,2018,Alabama,AL,Kidney-Pancreas,0
Transplant Recipients,2018,Alabama,AL,Liver,124
Transplant Recipients,2018,Alabama,AL,Lung,25
Transplant Recipients,2018,Alabama,AL,Pancreas,0
Transplant Recipients,2018,Alaska,AK,All,28
Transplant Recipients,2018,Alaska,AK,Heart,0
Transplant Recipients,2018,Alaska,AK,Kidney,19
Transplant Recipients,2018,Alaska,AK,Kidney-Pancreas,0
Transplant Recipients,2018,Alaska,AK,Liver,0
Transplant Recipients,2018,Alaska,AK,Lung,0
Transplant Recipients,2018,Alaska,AK,Pancreas,0
Transplant Recipients,2018,All,All,All,35198
Transplant Recipients,2018,All,All,Heart,3400
Transplant Recipients,2018,All,All,Kidney,21148
Transplant Recipients,2018,All,All,Kidney-Pancreas,834
Transplant Recipients,2018,All,All,Liver,8132
Transplant Recipients,2018,All,All,Lung,2522
Transplant Recipients,2018,All,All,Pancreas,190
Transplant Recipients,2018,Arizona,AZ,All,970
Transplant Recipients,2018,Arizona,AZ,Heart,70
Transplant Recipients,2018,Arizona,AZ,Kidney,553
Transplant Recipients,2018,Arizona,AZ,Kidney-Pancreas,21
Transplant Recipients,2018,Arizona,AZ,Liver,244
Transplant Recipients,2018,Arizona,AZ,Lung,102
Transplant Recipients,2018,Arizona,AZ,Pancreas,0
Transplant Recipients,2018,Arkansas,AR,All,257
Transplant Recipients,2018,Arkansas,AR,Heart,26
Transplant Recipients,2018,Arkansas,AR,Kidney,163
Transplant Recipients,2018,Arkansas,AR,Kidney-Pancreas,0
Transplant Recipients,2018,Arkansas,AR,Liver,63
